id,name,title,company,event_role,session_topic,source_url
1,Shradha Sharma,Founder & CEO,YourStory & The Bharat Project,Welcome Address,Ushering India's AI revolution @ TechSparks,https://techsparks.yourstory.com/blr-25-agenda-items/ushering-indias-ai-revolution-techsparks
2,Sangeeta Bavi,COO,YourStory,Panel Discussion,India's next-gen tech stack: Engineering intelligence for a billion users,https://techsparks.yourstory.com/blr-25-agenda-items/indias-next-gen-tech-stack-engineering-intelligence-for-a-billion-users
3,Madanmohan Rao,Research Director,YourStory,Panel Discussion,Intelligence in motion: Building AI-ready businesses,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-in-motion-building-ai-ready-businesses
4,Shivani Muthanna,Senior Director - Strategic Partnership and Content,YourStory,Panel Discussion,The resilience playbook: Scaling in India’s lending landscape,https://techsparks.yourstory.com/blr-25-agenda-items/the-resilience-playbook-scaling-in-indias-lending-landscape
5,Rishabh Mansur,Head Content Categories,YourStory,Panel Discussion,Agentic AI and the new CX playbook,https://techsparks.yourstory.com/blr-25-agenda-items/agentic-ai-and-the-new-cx-playbook
6,Abhishek Poddar,Co-founder & CEO,Plum,Panel Discussion,Assisted to autonomous: AI and the future of fintech,https://techsparks.yourstory.com/blr-25-agenda-items/assisted-to-autonomous-ai-and-the-future-of-fintech
7,Aditya Soni,Founder & CEO,CheQ,Product Showcase,CheQ Wisor — India’s first AI credit card expert,https://techsparks.yourstory.com/blr-25-agenda-items/cheq-wisor-indias-first-ai-credit-card-expert
8,Amrit Acharya,Co-founder & CEO,Zetwerk,Fireside Chat,The energy cost of intelligence: How AI is reshaping global power demand,https://techsparks.yourstory.com/blr-25-agenda-items/the-energy-cost-of-intelligence-how-ai-is-reshaping-global-power-demand
9,Arzan Singpurwalla,Lead Channel Partnerships - Business Messaging - India,Meta,Keynote Address,"Connect, converse, convert: The digital commerce wave of tomorrow",https://techsparks.yourstory.com/blr-25-agenda-items/connect-converse-convert-the-digital-commerce-wave-of-tomorrow
10,Hemant Gala,CEO,PhonePe Lending,Panel Discussion,The resilience playbook: Scaling in India’s lending landscape,https://techsparks.yourstory.com/blr-25-agenda-items/the-resilience-playbook-scaling-in-indias-lending-landscape
